Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1164    0.002    0.000    0.003    0.000 __init__.py:132(m_mouse_move)
     1792    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1164    0.002    0.000    0.003    0.000 camera.py:117(camera_apply_matrix)
       81    0.002    0.000    0.002    0.000 vertexbuffer.py:424(resize)
     2321    0.002    0.000    0.002    0.000 layout.py:531(unset_state)
      170    0.002    0.000    0.054    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     1164    0.002    0.000    0.002    0.000 camera.py:120(camera_dispel_matrix)
     1523    0.002    0.000    0.002    0.000 document.py:617(get_element_runs)
        2    0.002    0.001    0.031    0.016 win32.py:4(<module>)
     3073    0.002    0.000    0.002    0.000 message.py:70(__init__)
        1    0.002    0.002    0.004    0.004 vertexdomain.py:57(<module>)
     3046    0.002    0.000    0.002    0.000 runlist.py:190(__iter__)
       40    0.002    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
     1499    0.002    0.000    0.002    0.000 glu_info.py:84(set_active_context)
        2    0.002    0.001    0.005    0.003 win32.py:36(<module>)
     1523    0.002    0.000    0.002    0.000 runlist.py:43(__init__)
     3159    0.002    0.000    0.002    0.000 debug.py:98(m_new_entity)
        1    0.002    0.002    0.004    0.004 dds.py:38(<module>)
        1    0.002    0.002    0.002    0.002 base.py:40(<module>)
     1523    0.002    0.000    0.009    0.000 runlist.py:196(get_run_iterator)
     3045    0.002    0.000    0.002    0.000 weakref.py:130(__getitem__)
     4577    0.002    0.000    0.010    0.000 {method 'send' of 'generator' objects}
        1    0.002    0.002    0.002    0.002 s3tc.py:39(<module>)
        7    0.002    0.000    0.002    0.000 {built-in method _ctypes.LoadLibrary}
        1    0.002    0.002    0.002    0.002 vertexattribute.py:132(<module>)
        1    0.002    0.002    0.013    0.013 __init__.py:159(<module>)
     2710    0.002    0.000    0.002    0.000 __main__.py:48(__init__)
        1    0.002    0.002    0.020    0.020 __init__.py:68(<module>)
     5350    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
      178    0.002    0.000    0.146    0.001 clock.py:935(update_text)
     1164    0.001    0.000    0.076    0.000 clock.py:940(draw)
     2813    0.001    0.000    0.001    0.000 image.py:27(get_batch)
      271    0.001    0.000    0.140    0.001 __main__.py:254(<listcomp>)
